system:index,LC_Type1,LC_Type2,Unnamed_ 0,datetime,google:max_source_file_timestamp,latitude,longitude,school_id,timestamp,.geo
2020_01_01_0000000000000000094a,9.0,9.0,2378,2020-01-01 00:00:00,1.640916859E12,15.05876005,120.0727353,106936,1577836800000,"{""type"":""Point"",""coordinates"":[120.07273345823236,15.05875882197522]}"
2020_01_01_00000000000000000be5,14.0,14.0,3045,2020-01-01 00:00:00,1.640916859E12,13.91929,120.941971,107662,1577836800000,"{""type"":""Point"",""coordinates"":[120.94197278118689,13.919289056979768]}"
2020_01_01_0000000000000000076b,12.0,12.0,1899,2020-01-01 00:00:00,1.640916859E12,15.293168,120.708359,106420,1577836800000,"{""type"":""Point"",""coordinates"":[120.7083604769969,15.293169305253818]}"
2020_01_01_00000000000000001527,13.0,13.0,5415,2020-01-01 00:00:00,1.640916859E12,14.55555556,121.0116667,136704,1577836800000,"{""type"":""Point"",""coordinates"":[121.01166853065227,14.555553727194907]}"
2020_01_01_00000000000000000e38,12.0,12.0,3640,2020-01-01 00:00:00,1.640916859E12,14.43805556,121.4491667,108284,1577836800000,"{""type"":""Point"",""coordinates"":[121.44916877141003,14.43805641443661]}"
2020_01_01_00000000000000000996,9.0,9.0,2454,2020-01-01 00:00:00,1.640916859E12,14.85899,120.187737,107015,1577836800000,"{""type"":""Point"",""coordinates"":[120.1877381335018,14.858991094780844]}"
2020_01_01_0000000000000000039a,13.0,13.0,922,2020-01-01 00:00:00,1.640916859E12,15.659199,120.772299,105387,1577836800000,"{""type"":""Point"",""coordinates"":[120.77229952700222,15.659199074326978]}"
2020_01_01_000000000000000009b3,13.0,13.0,2483,2020-01-01 00:00:00,1.640916859E12,15.1496374,120.5854674,107048,1577836800000,"{""type"":""Point"",""coordinates"":[120.58546765196391,15.149635301444446]}"
2020_01_01_00000000000000000ff1,8.0,8.0,4081,2020-01-01 00:00:00,1.640916859E12,13.91850187,122.4349344,108750,1577836800000,"{""type"":""Point"",""coordinates"":[122.43493332309322,13.918499796093307]}"
2020_01_01_0000000000000000088f,13.0,13.0,2191,2020-01-01 00:00:00,1.640916859E12,15.44059,120.599575,106741,1577836800000,"{""type"":""Point"",""coordinates"":[120.599576247697,15.440591645181795]}"
2020_01_01_00000000000000001286,13.0,13.0,4742,2020-01-01 00:00:00,1.640916859E12,14.521262,121.262262,109443,1577836800000,"{""type"":""Point"",""coordinates"":[121.26226109165378,14.52126324009391]}"
2020_01_01_00000000000000000099,9.0,9.0,153,2020-01-01 00:00:00,1.640916859E12,14.6955996,120.5385107,104569,1577836800000,"{""type"":""Point"",""coordinates"":[120.53850885877006,14.695600713980477]}"
2020_01_01_000000000000000002ab,12.0,12.0,683,2020-01-01 00:00:00,1.640916859E12,14.991,120.9845389,105125,1577836800000,"{""type"":""Point"",""coordinates"":[120.98453935984308,14.990998322367059]}"
2020_01_01_000000000000000016a7,8.0,8.0,5799,2020-01-01 00:00:00,1.640916859E12,14.44603243,121.3808336,164504,1577836800000,"{""type"":""Point"",""coordinates"":[121.38083304776598,14.446033746221223]}"
2020_01_01_000000000000000004be,13.0,13.0,1214,2020-01-01 00:00:00,1.640916859E12,15.799672,120.990877,105697,1577836800000,"{""type"":""Point"",""coordinates"":[120.99087574244004,15.799674134813678]}"
2020_01_01_00000000000000000106,13.0,13.0,262,2020-01-01 00:00:00,1.640916859E12,14.62398529,120.5839629,104683,1577836800000,"{""type"":""Point"",""coordinates"":[120.58396493490892,14.623983091961087]}"
2020_01_01_00000000000000001694,13.0,13.0,5780,2020-01-01 00:00:00,1.640916859E12,14.42752984,120.9475805,164002,1577836800000,"{""type"":""Point"",""coordinates"":[120.94758233031212,14.427528476849425]}"
2020_01_01_0000000000000000141d,13.0,13.0,5149,2020-01-01 00:00:00,1.640916859E12,14.62676126,120.981689,136422,1577836800000,"{""type"":""Point"",""coordinates"":[120.98168999426993,14.626761111917387]}"
2020_01_01_0000000000000000135f,8.0,8.0,4959,2020-01-01 00:00:00,1.640916859E12,13.88077805,121.1357489,109670,1577836800000,"{""type"":""Point"",""coordinates"":[121.13574747656543,13.880780260282208]}"
2020_01_01_0000000000000000162c,13.0,13.0,5676,2020-01-01 00:00:00,1.640916859E12,15.544977,121.086787,159008,1577836800000,"{""type"":""Point"",""coordinates"":[121.08678654699862,15.54497920084296]}"
2020_01_01_00000000000000000eee,13.0,13.0,3822,2020-01-01 00:00:00,1.640916859E12,14.25446105,121.0640179,108474,1577836800000,"{""type"":""Point"",""coordinates"":[121.0640183770197,14.25446184676308]}"
2020_01_01_00000000000000001338,17.0,0.0,4920,2020-01-01 00:00:00,1.640916859E12,14.48337251,120.9112948,109630,1577836800000,"{""type"":""Point"",""coordinates"":[120.9112941659392,14.483374258442778]}"
2020_01_01_00000000000000000568,9.0,9.0,1384,2020-01-01 00:00:00,1.640916859E12,15.205381,120.810448,105887,1577836800000,"{""type"":""Point"",""coordinates"":[120.81044713651447,15.20538298281463]}"
2020_01_01_0000000000000000011b,12.0,12.0,283,2020-01-01 00:00:00,1.640916859E12,14.78172569,120.503665,104704,1577836800000,"{""type"":""Point"",""coordinates"":[120.50366544313844,14.78172379172674]}"
2020_01_01_0000000000000000152c,13.0,13.0,5420,2020-01-01 00:00:00,1.640916859E12,14.558429,121.045586,136711,1577836800000,"{""type"":""Point"",""coordinates"":[121.04558445326477,14.55842984737438]}"
2020_01_01_00000000000000000b85,13.0,13.0,2949,2020-01-01 00:00:00,1.640916859E12,13.838054,121.201836,107564,1577836800000,"{""type"":""Point"",""coordinates"":[121.20183581327856,13.838053153988088]}"
2020_01_01_00000000000000000643,13.0,13.0,1603,2020-01-01 00:00:00,1.640916859E12,14.907469,120.691928,106112,1577836800000,"{""type"":""Point"",""coordinates"":[120.6919286896149,14.907470441433908]}"
2020_01_01_00000000000000000aca,12.0,12.0,2762,2020-01-01 00:00:00,1.640916859E12,13.8377,121.140099,107365,1577836800000,"{""type"":""Point"",""coordinates"":[121.14009955919363,13.837700885004868]}"
2020_01_01_0000000000000000121e,8.0,8.0,4638,2020-01-01 00:00:00,1.640916859E12,14.624622,121.218224,109326,1577836800000,"{""type"":""Point"",""coordinates"":[121.21822300964998,14.624620743411727]}"
2020_01_01_000000000000000010db,11.0,11.0,4315,2020-01-01 00:00:00,1.640916859E12,14.1925,121.925497,108996,1577836800000,"{""type"":""Point"",""coordinates"":[121.92549886414125,14.192498178524396]}"
2020_01_01_00000000000000000d38,2.0,2.0,3384,2020-01-01 00:00:00,1.640916859E12,14.150641,120.910635,108014,1577836800000,"{""type"":""Point"",""coordinates"":[120.9106342189833,14.1506405969357]}"
