Savannas,Grasslands,Urban and built-up,Croplands,Forests,Waterbodies & Wetlands
0.000976603289417531,0.0009475433809077525,0.0018291945559030026,0.0011729924776803225,0.00010674184860159817,0.0014924846711705942
0.002552427950707883,0.0007716960267802938,0.0019738324153814497,0.0019880856770424773,0.002824548172624144,0.009522860167456454
0.0032703766762960905,0.003686705742604875,0.0028169354146145922,0.0004305832057602173,0.00761717821002188,0.00872652647925205
4.8441866950509936e-05,0.0006023345843514752,0.0020704450590828746,0.002207047145569403,0.008876365069384988,0.005306431504546619
0.003509046198988116,0.00015364318521582078,0.0027916929676536865,0.0006798276491287849,0.003707188993828482,0.006268068740928108
0.00734752901539255,0.002897748534919105,3.1077594131179836e-05,0.0002457349697624137,0.0010301656737538051,0.010986703341124488
0.0002944641255157485,0.002159272055419803,0.004420812471748839,2.5437698866979133e-05,0.00037898465741533486,0.006091050111530908
0.0066382170056033165,0.005630940774970404,0.004012380719665282,0.0042527159591210385,0.011367077878258181,0.0014847302045978483
0.008930328667080718,0.0011339688775839304,0.003221936794142649,0.004163470955002745,0.004200068782998002,0.013857565290940916
0.005203135342777524,0.0050103830909080565,0.0065897412868361396,0.0038393258225554987,0.013914575678391362,0.016385271249573088
0.004771476898122421,0.0028860839725177575,0.0008121439967268009,0.00798785877257707,0.001148496770060407,0.0013444410647199454
0.010501710828766053,0.00720495563968401,0.00022880936327787673,0.0016356014255299851,0.0012892631635273973,0.01312380931416496
0.006245677385813466,0.0013825930224395946,0.006672986019048872,0.0007992790229349702,0.007772762118590658,0.013714774710233094
0.007151454285320599,0.0046767528917443235,0.0043632625915843585,0.00031365501420565974,0.004613681833856545,0.01335327481962944
0.005055280798039066,0.003540412565641695,0.007418283869908606,0.007308801962807892,0.018267743300810976,0.020970620744215334
0.01314261634645768,0.00406651693735961,0.001369348942169734,0.005657664054533064,0.0003075215007253615,0.005386394229742999
0.00116904066751747,0.00881870560648373,0.0006432409731217617,0.004453071950931029,0.0182723882898711,0.002155574944501366
0.0008343723639395557,0.0010603457761656143,0.006304295638133276,0.009549971916550635,0.00870666039407344,0.015815609791239756
0.014104427264934914,0.00048433723468233975,0.005703877222284066,0.0007655583918188148,0.0040413030569230405,0.015739565990010244
0.014850980012930032,0.009266817482887628,0.005821719962972708,0.0072778917832699245,0.02137949114702245,0.015471244770321038
0.0005511962663623024,0.009337187253369354,0.007169722412671587,0.0059838009209778,0.0009968843271380328,0.018591875587004782
0.012914094521466215,0.001067789160203679,0.009955749336027454,0.005293119279127118,0.00023842728845605024,0.004418795226050205
0.017179376521480744,0.007853966259504765,0.0008986060757985661,0.010665620648827267,0.020406203364309837,0.0022275747497225067
